BEGIN;
BEGIN
select
	p_brand,
	p_type,
	p_size,
	count(distinct ps_suppkey) as supplier_cnt
from
	partsupp,
	part
where
	p_partkey = ps_partkey
	and p_brand <> 'Brand#14'
	and p_type not like 'LARGE PLATED%'
	and p_size in (9, 24, 27, 12, 29, 21, 8, 48)
	and ps_suppkey not in (
		select
			s_suppkey
		from
			supplier
		where
			s_comment like '%Customer%Complaints%'
	)
group by
	p_brand,
	p_type,
	p_size
order by
	supplier_cnt desc,
	p_brand,
	p_type,
	p_size;
  p_brand   |          p_type           | p_size | supplier_cnt 
------------+---------------------------+--------+--------------
 Brand#41   | STANDARD PLATED TIN       |     12 |          595
 Brand#51   | MEDIUM ANODIZED NICKEL    |     27 |          595
 Brand#44   | SMALL POLISHED NICKEL     |     48 |          584
 Brand#11   | PROMO BURNISHED STEEL     |      8 |          580
 Brand#15   | ECONOMY ANODIZED NICKEL   |     48 |          580
 Brand#33   | PROMO PLATED BRASS        |     29 |          580
 Brand#12   | STANDARD BRUSHED TIN      |      9 |          576
 Brand#35   | STANDARD BRUSHED TIN      |     24 |          572
 Brand#51   | PROMO ANODIZED TIN        |      8 |          572
 Brand#55   | SMALL PLATED COPPER       |      8 |          572
 Brand#22   | STANDARD PLATED NICKEL    |     29 |          568
 Brand#32   | LARGE POLISHED BRASS      |      8 |          568
 Brand#32   | LARGE POLISHED TIN        |     29 |          568
 Brand#53   | MEDIUM POLISHED NICKEL    |     27 |          568
 Brand#22   | LARGE ANODIZED BRASS      |     29 |          565
 Brand#22   | SMALL ANODIZED TIN        |     12 |          564
 Brand#34   | STANDARD ANODIZED NICKEL  |     27 |          564
 Brand#41   | LARGE BURNISHED NICKEL    |     48 |          564
 Brand#52   | SMALL BURNISHED TIN       |     24 |          564
 Brand#11   | LARGE ANODIZED STEEL      |      9 |          563
 Brand#31   | SMALL BURNISHED TIN       |     48 |          563
 Brand#23   | ECONOMY BURNISHED TIN     |      9 |          560
 Brand#35   | LARGE POLISHED STEEL      |     48 |          560
 Brand#44   | STANDARD BURNISHED BRASS  |     27 |          560
 Brand#45   | LARGE POLISHED TIN        |     12 |          560
 Brand#55   | ECONOMY BRUSHED STEEL     |     12 |          560
 Brand#55   | SMALL BURNISHED BRASS     |      9 |          560
 Brand#21   | MEDIUM ANODIZED NICKEL    |     21 |          559
